Step size,Method,"Radius, xi","Density derivative, d(theta)/d(xi)"
0.1,Euler,3.1000000000000014,-0.3388322661149234
0.1,Improved Euler,3.1000000000000014,-0.3259175013015985
0.1,Runge-Kutta,3.1000000000000014,-0.32662045260405514
0.1,Exact,3.1415926795926814,-0.31830988091450385
0.01,Euler,3.1299999999999772,-0.3217329656403775
0.01,Improved Euler,3.139999999999977,-0.31862568823046306
0.01,Runge-Kutta,3.139999999999977,-0.31863244893617887
0.01,Exact,3.1415926723926493,-0.31830988237353536
0.001,Euler,3.140999999999765,-0.318535712203409
0.001,Improved Euler,3.140999999999765,-0.3184298939191397
0.001,Runge-Kutta,3.140999999999765,-0.3184299609685312
0.001,Exact,3.1415927072924723,-0.31830987530135246
